ticker,buy,stop,sell
1301,2861.5,2796.0,
1305,,1692.0,
1306,,1682.0,
1308,,1651.0,
1322,5200.0,5060.0,
1324,128.0,125.0,
1325,206.0,203.0,
1328,,3730.0,
1329,21990.0,21760.0,
1330,22130.0,21880.0,
1333,,4055.0,
1357,1205.0,1166.0,
1360,2887.0,2791.0,
1364,,14480.0,
1365,13770.0,13460.0,
1366,3140.0,3040.0,
1379,,1999.0,
1380,901.0,880.0,
1381,2321.0,2310.0,
1383,2476.5,2444.0,
1398,,1926.0,
1413,2211.0,2157.0,
1414,7395.0,7320.0,
1418,209.0,202.0,
1420,825.0,813.0,
1429,541.0,519.0,
1439,1080.0,1070.0,
1443,245.5,240.0,
1447,400.0,392.0,
1456,7080.0,6970.0,
1458,10290.0,10070.0,
1459,4675.0,4525.0,
1464,,9750.0,
1466,5030.0,4855.0,
1488,,1933.0,
1518,1316.0,1255.0,
1540,4470.0,4430.0,
1545,,8310.0,
1569,3230.0,3170.0,
1570,18000.0,17600.0,
1578,1706.0,1690.0,
1591,,14410.0,
1597,,1933.0,
1605,1051.0,1039.5,
1615,160.0,157.0,
1618,12145.0,11820.0,
1627,8280.0,8180.0,
1631,9360.0,9250.0,
1689,4.0,3.0,
1698,,1728.0,
1699,,397.0,
1719,767.0,752.0,
1722,798.0,784.0,
1723,2750.0,2651.0,
1726,342.0,336.0,
1730,535.0,530.0,
1762,2401.0,2380.0,
1766,7225.0,7130.0,
1775,1871.0,1864.0,
1776,749.5,735.0,
1802,1114.0,1100.0,
1811,5380.0,5270.0,
1812,1634.0,1613.0,
1813,1478.0,1430.0,
1815,2780.0,2755.0,
1827,483.0,473.0,
1828,810.0,802.0,
1835,3050.0,3000.0,
1852,2504.0,2454.0,
1861,3467.5,3430.0,
1866,3165.0,3125.0,
1867,2339.5,2325.0,
1878,15580.0,15390.0,
1879,,993.0,
1881,2107.0,2056.0,
1884,6510.0,6440.0,
1888,1494.5,1465.0,
1893,528.0,518.0,
1898,594.0,586.0,
1921,354.0,346.0,
1928,,1821.5,
1939,,2740.0,
1942,980.0,958.0,
1944,1877.0,1814.0,
1945,985.0,960.0,
1949,,1909.0,
1950,,2339.0,
1960,675.0,665.0,
1964,1807.0,1760.0,
1966,652.0,643.0,
1967,,508.0,
1968,2440.0,2378.0,
1969,,1824.0,
1972,2802.0,2786.0,
1976,758.0,746.0,
1980,,2646.0,
1983,2001.0,1973.0,
2001,,1955.0,
2002,2540.0,2499.0,
2036,10270.0,10190.0,
2060,177.5,173.0,
2107,1018.0,1011.0,
2108,1914.0,1840.0,
2109,2770.0,2725.0,
2117,2074.0,2041.0,
2120,580.0,564.0,
2127,3050.0,3005.0,
2146,2561.0,2518.0,
2148,450.0,436.0,
2152,,899.0,
2157,,1659.0,
2158,545.0,514.0,
2160,2964.5,2930.0,
2163,917.0,904.0,
2164,1151.0,1080.0,
2173,748.5,726.0,
2174,795.0,773.0,
2183,1376.0,1351.0,
2191,286.0,279.0,
2201,4805.0,4705.0,
2204,4270.0,4240.0,
2208,1906.5,1879.0,
2216,3242.5,3215.0,
2220,5335.0,5250.0,
2229,,3030.0,
2266,2136.0,2078.0,
2270,2694.0,2654.0,
2282,,4030.0,
2291,2327.0,2300.0,
2307,,1032.0,
2309,1588.0,1568.0,
