ticker,name,star6,star12,star24,date,pattern,total,confirmed,success,profit,loss,e,v,target,buy,stop,sell,reward,risk,rr
9828,元気寿司(株),4,5,4,2019.04.09,BULLISH THREE GAP DOWNS,4.0,1.0,1.0,30.0,0.0,30.0,38800,6006.0,4620.0,4540.0,,1386.0,80.0,17.32
2186,ソーバル(株),4,5,4,2019.04.10,BEARISH ONE BLACK CROW,2.0,1.0,1.0,28.0,0.0,28.0,222200,628.0,,890.0,872.0,244.0,18.0,13.55
2588,(株)ウォーターダイレクト,4,5,5,2019.04.10,BULLISH PIERCING LINE,5.0,4.0,4.0,19.0,0.0,19.0,1100,2069.0,1739.0,1670.0,,330.0,69.0,4.78
6699,,5,5,5,2019.04.09,BEARISH TWO CROWS,2.0,1.0,1.0,19.0,0.0,19.0,4000,778.0,,999.0,960.0,182.0,39.0,4.66
3967,株式会社エルテス,5,4,4,2019.03.27,BULLISH PIERCING LINE,6.0,5.0,3.0,33.0,5.0,17.8,31300,2120.0,1800.0,1729.0,,320.0,71.0,4.5
7859,株式会社アルメディオ,5,5,5,2019.04.09,BEARISH ONE BLACK CROW,4.0,2.0,2.0,17.0,0.0,17.0,112300,138.0,,173.0,166.0,28.0,7.0,4.0
3907,シリコンスタジオ(株),5,5,4,2019.04.11,BULLISH THREE GAP DOWNS,9.0,2.0,2.0,16.0,0.0,16.0,538100,2815.0,2427.5,2332.0,,387.0,96.0,4.03
2412,(株)ベネフィット・ワン,4,4,4,2019.04.10,BULLISH HAMMER,4.0,2.0,1.0,29.0,1.0,14.0,304100,2431.0,2133.0,2085.0,,298.0,48.0,6.2
4970,東洋合成工業(株),5,5,5,2019.04.01,BEARISH DOJI STAR,5.0,1.0,1.0,13.0,0.0,13.0,26100,1392.0,,1640.0,1599.0,207.0,41.0,5.04
6300,アピックヤマダ株式会社,5,5,4,2019.02.13,BEARISH DOJI STAR,3.0,1.0,1.0,13.0,0.0,13.0,10400,434.0,,538.0,498.0,64.0,40.0,1.6
3182,オイシックス(株),5,5,5,2019.04.10,BULLISH PIERCING LINE,6.0,2.0,1.0,27.0,2.0,12.5,184300,1915.0,1703.0,1638.0,,212.0,65.0,3.26
3906,(株)ＡＬＢＥＲＴ,5,5,5,2019.04.10,BULLISH DOJI STAR,10.0,5.0,3.0,22.0,3.0,12.0,143600,15624.0,13950.0,13710.0,,1674.0,240.0,6.97
